           x	           y	           z	          vx	          vy	          vz	           C	           T
   1.0582265	  -0.0160184	  -0.1978572	  -0.0182816	  -0.1685598	   0.0377351	   3.0201970	   2.0309000
   1.0578086	  -0.0194617	  -0.1969984	  -0.0221723	  -0.1673510	   0.0461648	   3.0201881	   2.0309000
   1.0573109	  -0.0228770	  -0.1959667	  -0.0260425	  -0.1659007	   0.0546151	   3.0201784	   2.0309000
   1.0567339	  -0.0262595	  -0.1947617	  -0.0298888	  -0.1642064	   0.0630883	   3.0201685	   2.0309000
   1.0560785	  -0.0296046	  -0.1933827	  -0.0337079	  -0.1622653	   0.0715868	   3.0201588	   2.0309000
   1.0553453	  -0.0329073	  -0.1918289	  -0.0374964	  -0.1600741	   0.0801127	   3.0201500	   2.0309000
   1.0545353	  -0.0361630	  -0.1900996	  -0.0412511	  -0.1576292	   0.0886678	   3.0201429	   2.0309000
   1.0536495	  -0.0393670	  -0.1881939	  -0.0449686	  -0.1549265	   0.0972541	   3.0201384	   2.0309000
   1.0526888	  -0.0425146	  -0.1861107	  -0.0486458	  -0.1519613	   0.1058736	   3.0201376	   2.0309000
   1.0516535	  -0.0455982	  -0.1838490	  -0.0522763	  -0.1487236	   0.1145400	   3.0201410	   2.0309000
   1.0505440	  -0.0486123	  -0.1814081	  -0.0558559	  -0.1452107	   0.1232622	   3.0201463	   2.0309000
   1.0493615	  -0.0515517	  -0.1787875	  -0.0593815	  -0.1414208	   0.1320449	   3.0201518	   2.0309000
   1.0481071	  -0.0544112	  -0.1759863	  -0.0628493	  -0.1373499	   0.1408941	   3.0201560	   2.0309000
   1.0467821	  -0.0571852	  -0.1730034	  -0.0662552	  -0.1329908	   0.1498168	   3.0201585	   2.0309000
   1.0453878	  -0.0598676	  -0.1698372	  -0.0695945	  -0.1283338	   0.1588210	   3.0201591	   2.0309000
   1.0439259	  -0.0624518	  -0.1664862	  -0.0728618	  -0.1233666	   0.1679160	   3.0201578	   2.0309000
   1.0423978	  -0.0649311	  -0.1629481	  -0.0760515	  -0.1180741	   0.1771120	   3.0201553	   2.0309000
   1.0408055	  -0.0672982	  -0.1592208	  -0.0791573	  -0.1124383	   0.1864207	   3.0201521	   2.0309000
   1.0391506	  -0.0695456	  -0.1553016	  -0.0821724	  -0.1064387	   0.1958544	   3.0201486	   2.0309000
   1.0374352	  -0.0716651	  -0.1511876	  -0.0850895	  -0.1000521	   0.2054268	   3.0201455	   2.0309000
   1.0356613	  -0.0736485	  -0.1468756	  -0.0879009	  -0.0932525	   0.2151527	   3.0201431	   2.0309000
   1.0338312	  -0.0754869	  -0.1423621	  -0.0905982	  -0.0860111	   0.2250479	   3.0201415	   2.0309000
   1.0319471	  -0.0771712	  -0.1376435	  -0.0931727	  -0.0782967	   0.2351294	   3.0201408	   2.0309000
   1.0300115	  -0.0786919	  -0.1327155	  -0.0956149	  -0.0700751	   0.2454154	   3.0201409	   2.0309000
   1.0280268	  -0.0800389	  -0.1275738	  -0.0979151	  -0.0613095	   0.2559249	   3.0201417	   2.0309000
   1.0259959	  -0.0812012	  -0.1222138	  -0.1000618	  -0.0519511	   0.2666806	   3.0201442	   2.0309000
   1.0239225	  -0.0821643	  -0.1166300	  -0.1020398	  -0.0419180	   0.2777172	   3.0201487	   2.0309000
   1.0218102	  -0.0829150	  -0.1108168	  -0.1038354	  -0.0311438	   0.2890689	   3.0201518	   2.0309000
   1.0196632	  -0.0834372	  -0.1047674	  -0.1054310	  -0.0195319	   0.3007737	   3.0201531	   2.0309000
   1.0174858	  -0.0837118	  -0.0984741	  -0.1068044	  -0.0069503	   0.3128742	   3.0201540	   2.0309000
   1.0152830	  -0.0837163	  -0.0919282	  -0.1079288	   0.0067689	   0.3254176	   3.0201560	   2.0309000
   1.0130602	  -0.0834249	  -0.0851199	  -0.1087732	   0.0218287	   0.3384559	   3.0201596	   2.0309000
   1.0108231	  -0.0828087	  -0.0780384	  -0.1093015	   0.0384687	   0.3520452	   3.0201646	   2.0309000
   1.0085769	  -0.0818133	  -0.0706790	  -0.1094288	   0.0571372	   0.3661272	   3.0202701	   2.0309000
   1.0063298	  -0.0804106	  -0.0630228	  -0.1091283	   0.0780767	   0.3809107	   3.0203748	   2.0309000
   1.0040931	  -0.0785711	  -0.0550460	  -0.1083767	   0.1017222	   0.3966000	   3.0203483	   2.0309000
   1.0018797	  -0.0762289	  -0.0467329	  -0.1070821	   0.1290350	   0.4131415	   3.0201976	   2.0309000
   0.9997043	  -0.0732811	  -0.0380756	  -0.1050837	   0.1615028	   0.4302237	   3.0200268	   2.0309000
   0.9975834	  -0.0695882	  -0.0290738	  -0.1021519	   0.2011398	   0.4472770	   3.0199730	   2.0309000
   0.9955353	  -0.0649741	  -0.0197350	  -0.0979882	   0.2504866	   0.4634739	   3.0200846	   2.0309000
   0.9935825	  -0.0592199	  -0.0100884	  -0.0922047	   0.3128312	   0.4772713	   3.0203530	   2.0309000
   0.9917683	  -0.0519970	  -0.0002070	  -0.0840981	   0.3950823	   0.4844243	   3.0200448	   2.0309000
   0.9901563	  -0.0428131	   0.0096769	  -0.0723235	   0.5060272	   0.4728070	   3.0197682	   2.0309000
   0.9888419	  -0.0309956	   0.0188846	  -0.0546860	   0.6529803	   0.4136666	   3.0202803	   2.0309000
   0.9879791	  -0.0158976	   0.0259434	  -0.0276274	   0.8148220	   0.2532571	   3.0210488	   2.0309000
   0.9877718	   0.0018222	   0.0283866	   0.0082777	   0.8852632	  -0.0295118	   3.0207944	   2.0309000


