          # hardware              workers      envs_per_worker         eval_workers            eval_epis           cpus_per_w           gpus_per_w           cpus_per_d           gpus_per_d              time[s]
            cpu_only                    1                  100                    1                    1              3.00000              0.00000              2.00000              0.00000             68.30076
            cpu_only                    2                   50                    1                    1              2.00000              0.00000              2.00000              0.00000             35.22634
            cpu_only                    4                   25                    2                    2              1.00000              0.00000              2.00000              0.00000             20.06381
            cpu_only                    5                   20                    2                    2              1.00000              0.00000              1.00000              0.00000             16.78686
            cpu_only                   10                   10                    5                    5              0.46667              0.00000              1.00000              0.00000             10.60911
            cpu_only                   20                    5                   10                   10              0.23333              0.00000              1.00000              0.00000              7.67626
            cpu_only                   25                    4                   12                   12              0.18919              0.00000              1.00000              0.00000              8.11311
            cpu_only                   50                    2                   25                   25              0.09333              0.00000              1.00000              0.00000              8.32268
