         dist_r_mean          dist_v_mean                   mf              epsilon              failure 
   9956.102960710252    87.51640605270308   0.9995459278955757                 0.01                    0 
    8318.81521950152     61.1478661082479   0.9996121014838493                 0.01                    0 
  10293.550706685368    77.66055488725665   0.9995486865608112                 0.01                    0 
   9856.772897506313    90.21556097192442   0.9997372854003853                 0.01                    0 
   7692.971038578527    52.77909368524305   0.9995949813540869                 0.01                    0 
   9620.729496143562    98.63975436727162   0.9996310647804673                 0.01                    0 
   9231.609953951043    78.15742642549303   0.9996549857457956                 0.01                    0 
   8502.923623682655    88.45086331992131   0.9997192071243474                 0.01                    0 
  12305.305609166202   115.02237843964794   0.9995584656873067                 0.01                    0 
   6790.431360347642    53.58761313412351   0.9996268714259776                 0.01                    0 
  10146.064701167375    94.93242077547775   0.9996701724247901                 0.01                    0 
   8960.050006517744    69.69618953814764   0.9997071671566564                 0.01                    0 
   8832.796874263624    74.69786508019541   0.9995474243911943                 0.01                    0 
