                   x                    y                    z                   vx                   vy                   vz                    m                    t                   Fx                   Fy                   Fz                F_mod               dist_r               dist_v 
  0.8548037319090498 0.0036928937152959384 -0.0008616305455071432 0.0013133601340056306 -0.13249340392551595 -0.00023907466068247608                  1.0                  0.0                 -0.0                 -0.0                 -0.0                  0.0   12.251359042246587   0.9927268735736537 
  0.8548253505420818 5.2696900355391776e-05 -0.0008660197158117257 0.00026478379083997303 -0.13282833096215915 -8.079544528860224e-05                  1.0         0.0274291184         -0.029361725         -0.026306974          0.006769943                 0.04   51623.100832150114   1583.0723048538848 
  0.8548070438418401 -0.003597811493224294 -0.0008635133154390119 -0.0016078513882898731 -0.13323746078154194 0.00026344425786970106   0.9999617912632522         0.0548582368        -0.0042529665        0.00016968837        -0.0016411749          0.004561795   21793.543783014833   156.03516308180826 
  0.8547462198919802 -0.007240559736089189 -0.00085474605583495  -0.0028322371675244 -0.13226942014525506 0.0003754609405465797   0.9999574337529907         0.0822873552        -0.0013341733          0.015604811         -0.009800185           0.01847522   36930.562820588406   248.30840160886407 
   0.854652518721605 -0.010842393401086066 -0.0008460081950183295 -0.004003973653301987 -0.13025721671182344 0.0002612467198945141   0.9999397858834909         0.1097164736                 -0.0                  0.0                 -0.0                  0.0   5649.1235177345825   43.581985977424864 
   0.854526681500585 -0.014386621668252653 -0.0008367507027291335 -0.005181608759523287 -0.12807266696595876 0.00041328736834699123   0.9999397858834909          0.137145592                 -0.0                  0.0                 -0.0                  0.0    6114.127454712698   47.028085220773164 
  0.8543676575700893 -0.01786294215516468 -0.0008233667588835305 -0.006425552457251036   -0.125309472052198 0.0005619640984070687   0.9999397858834909  0.16457471040000002                 -0.0                  0.0                 -0.0                  0.0    6615.188309917861    50.68477985482193 
  0.8541734982155006 -0.02125581235745058 -0.0008059617278304528 -0.007744713945572182 -0.12199231676577885 0.0007063362687718283   0.9999397858834909  0.19200382880000003                 -0.0                  0.0                 -0.0                  0.0    7154.220457799907    54.55971260886656 
  0.8539420583087164 -0.02455041906270227 -0.0007846655511417024 -0.00914445746717661 -0.11814955647710025 0.0008455543712197222   0.9999397858834909  0.21943294720000003                 -0.0                  0.0                 -0.0                  0.0    7733.475721236562    58.66313824560004 
  0.8536710965938745 -0.027732767702947272 -0.0007596301123001261 -0.01062641260381644 -0.11381238881213392 0.0009788691527350395   0.9999397858834909  0.24686206560000004                 -0.0                  0.0                 -0.0                  0.0    8355.810795575118   63.009977421153145 
  0.8533583785446474 -0.030789749023690978 -0.0007310264135270608 -0.012188473764132466  -0.1090140360389738 0.0011056362269347584   0.9999397858834909          0.274291184                 -0.0                  0.0                 -0.0                  0.0     9024.09582558757    67.61552393236181 
  0.8530017768824147  -0.0337091839823639 -0.0006990416841847876 -0.013824966660094442 -0.10378898168460732 0.0012253165340296139   0.9999397858834909  0.30172030240000003       -0.00034654856        0.00014419128       -0.00038543736         0.0005380046    9740.992042768677    72.49382745172406 
  0.8525992361518185 -0.03647979226266858 -0.0006640214748457547 -0.015536356261905871 -0.09816808574545131 0.001326908249498198   0.9999392719715748  0.32914942080000004        -0.0011064701         0.0006437616        -0.0013323306         0.0018476499   11439.195825583738     84.2331461532563 
  0.8521487071968191 -0.03909105490730778 -0.0006266774341451544 -0.017321745203110042 -0.09217591174980115 0.001394727070950626   0.9999375070624064  0.35657853920000004        -0.0016361524         0.0021033555        -0.0027948506         0.0038616434   14718.888474140167   106.65730706943452 
   0.851648452278247 -0.04153289169869384 -0.000588131592677001 -0.019159245546134594 -0.08582000054131089 0.0014145424007432367   0.9999338183495527  0.38400765760000005        -0.0015044251         0.0031201239        -0.0034426218         0.0048836577   16172.524782719831    116.1348548035887 
  0.8510975339177809 -0.043795957718537955 -0.0005493927913941121 -0.021012812439011694 -0.07914648652393082 0.0014088318612308663   0.9999291533897416  0.41143677600000006        -0.0014538905         0.0023960841        -0.0028447416          0.003993441   14515.968449879023   104.36690088927035 
  0.8504957275331813 -0.04587265886066541 -0.000510689289029203 -0.022866922968761656 -0.07223664717417139 0.0014120113092340894   0.9999253387813851  0.43886589440000007        -0.0013761037         0.0025832474         -0.002913624          0.004129895   14568.007101963542   104.26925486955051 
  0.8498432714539403 -0.04775661559248647 -0.00047202463168892445 -0.024702766764114675 -0.06509776919430567 0.0014060427212126375   0.9999213938298394   0.4662950128000001        -0.0013191062         0.0023870226        -0.0027158388         0.0038488568   13883.130542727597    99.13333674114163 
  0.8491409195636153 -0.04944211889658613 -0.00043354573226205375 -0.02650195611219954 -0.057771450231561675 0.0013985131439311698   0.9999177173308597   0.4937241312000001        -0.0012660682         0.0023505036         -0.002641441         0.0037556633   13531.264819069338    96.29216340014617 
  0.8483899343107754 -0.05092437966096346 -0.0003953379985994041 -0.028245725437332538 -0.05028317767416704 0.0013863177289437012   0.9999141298522608   0.5211532496000001        -0.0012190561         0.0022841466        -0.0025511766         0.0036348214   13124.972780245489    93.09778781057159 
  0.8475920911507915 -0.05219936354356415 -0.00035751953549413974 -0.029915535569695777 -0.04266251465463351 0.0013701773175037774   0.9999106578039506          0.548582368        -0.0011769104          0.002238047        -0.0024805935         0.0035422193    12767.28076353806    90.26069055569558 
   0.846749667071718 -0.05326381402195407 -0.00032020200836324766 -0.03149338934780601 -0.03493663274052225 0.0013498398782443527   0.9999072742108303         0.5760114864        -0.0011389172          0.002199973        -0.0024198699           0.00346306   12429.533088069178    87.58791120588212 
