         # x	           y	           z	          vx	          vy	          vz	           C
   1.1700000	   0.0000000	   0.0000000	   0.0000000	  -0.0827167	   0.0000000	   3.1667456
   1.1699901	  -0.0014063	   0.0000000	  -0.0011650	  -0.0826776	   0.0000000	   3.1667456
   1.1699604	  -0.0028113	   0.0000000	  -0.0023282	  -0.0825605	   0.0000000	   3.1667456
   1.1699109	  -0.0042136	   0.0000000	  -0.0034880	  -0.0823655	   0.0000000	   3.1667456
   1.1698418	  -0.0056119	   0.0000000	  -0.0046426	  -0.0820927	   0.0000000	   3.1667456
   1.1697531	  -0.0070049	   0.0000000	  -0.0057903	  -0.0817423	   0.0000000	   3.1667456
   1.1696448	  -0.0083913	   0.0000000	  -0.0069295	  -0.0813148	   0.0000000	   3.1667456
   1.1695174	  -0.0097698	   0.0000000	  -0.0080585	  -0.0808105	   0.0000000	   3.1667456
   1.1693709	  -0.0111391	   0.0000000	  -0.0091755	  -0.0802298	   0.0000000	   3.1667456
   1.1692054	  -0.0124978	   0.0000000	  -0.0102790	  -0.0795733	   0.0000000	   3.1667456
   1.1690214	  -0.0138448	   0.0000000	  -0.0113674	  -0.0788416	   0.0000000	   3.1667456
   1.1688190	  -0.0151787	   0.0000000	  -0.0124390	  -0.0780354	   0.0000000	   3.1667456
   1.1685985	  -0.0164982	   0.0000000	  -0.0134923	  -0.0771553	   0.0000000	   3.1667456
   1.1683602	  -0.0178021	   0.0000000	  -0.0145259	  -0.0762022	   0.0000000	   3.1667456
   1.1681046	  -0.0190893	   0.0000000	  -0.0155381	  -0.0751770	   0.0000000	   3.1667456
   1.1678320	  -0.0203583	   0.0000000	  -0.0165276	  -0.0740805	   0.0000000	   3.1667456
   1.1675427	  -0.0216082	   0.0000000	  -0.0174930	  -0.0729138	   0.0000000	   3.1667456
   1.1672372	  -0.0228376	   0.0000000	  -0.0184329	  -0.0716779	   0.0000000	   3.1667456
   1.1669160	  -0.0240454	   0.0000000	  -0.0193460	  -0.0703739	   0.0000000	   3.1667456
   1.1665795	  -0.0252305	   0.0000000	  -0.0202310	  -0.0690030	   0.0000000	   3.1667456
   1.1662282	  -0.0263917	   0.0000000	  -0.0210868	  -0.0675664	   0.0000000	   3.1667456
   1.1658626	  -0.0275279	   0.0000000	  -0.0219121	  -0.0660653	   0.0000000	   3.1667456
   1.1654831	  -0.0286381	   0.0000000	  -0.0227059	  -0.0645011	   0.0000000	   3.1667456
   1.1650906	  -0.0297211	   0.0000000	  -0.0234672	  -0.0628752	   0.0000000	   3.1667456
   1.1646852	  -0.0307760	   0.0000000	  -0.0241949	  -0.0611890	   0.0000000	   3.1667456
   1.1642679	  -0.0318017	   0.0000000	  -0.0248881	  -0.0594439	   0.0000000	   3.1667456
   1.1638391	  -0.0327972	   0.0000000	  -0.0255460	  -0.0576415	   0.0000000	   3.1667456
   1.1633993	  -0.0337616	   0.0000000	  -0.0261678	  -0.0557834	   0.0000000	   3.1667456
   1.1629493	  -0.0346940	   0.0000000	  -0.0267527	  -0.0538711	   0.0000000	   3.1667456
   1.1624898	  -0.0355934	   0.0000000	  -0.0273002	  -0.0519064	   0.0000000	   3.1667456
   1.1620212	  -0.0364589	   0.0000000	  -0.0278096	  -0.0498908	   0.0000000	   3.1667456
   1.1615442	  -0.0372898	   0.0000000	  -0.0282803	  -0.0478261	   0.0000000	   3.1667456
   1.1610596	  -0.0380851	   0.0000000	  -0.0287121	  -0.0457141	   0.0000000	   3.1667456
   1.1605680	  -0.0388442	   0.0000000	  -0.0291044	  -0.0435566	   0.0000000	   3.1667456
   1.1600701	  -0.0395662	   0.0000000	  -0.0294570	  -0.0413555	   0.0000000	   3.1667456
   1.1595664	  -0.0402503	   0.0000000	  -0.0297697	  -0.0391124	   0.0000000	   3.1667456
   1.1590579	  -0.0408961	   0.0000000	  -0.0300423	  -0.0368295	   0.0000000	   3.1667456
   1.1585450	  -0.0415026	   0.0000000	  -0.0302748	  -0.0345085	   0.0000000	   3.1667456
   1.1580285	  -0.0420694	   0.0000000	  -0.0304670	  -0.0321515	   0.0000000	   3.1667456
   1.1575091	  -0.0425958	   0.0000000	  -0.0306192	  -0.0297605	   0.0000000	   3.1667456
   1.1569874	  -0.0430813	   0.0000000	  -0.0307315	  -0.0273373	   0.0000000	   3.1667456
   1.1564642	  -0.0435254	   0.0000000	  -0.0308041	  -0.0248842	   0.0000000	   3.1667456
   1.1559401	  -0.0439274	   0.0000000	  -0.0308373	  -0.0224030	   0.0000000	   3.1667456
   1.1554158	  -0.0442871	   0.0000000	  -0.0308315	  -0.0198960	   0.0000000	   3.1667456
   1.1548918	  -0.0446039	   0.0000000	  -0.0307871	  -0.0173652	   0.0000000	   3.1667456
   1.1543690	  -0.0448775	   0.0000000	  -0.0307047	  -0.0148127	   0.0000000	   3.1667456
   1.1538478	  -0.0451076	   0.0000000	  -0.0305849	  -0.0122408	   0.0000000	   3.1667456
   1.1533290	  -0.0452937	   0.0000000	  -0.0304283	  -0.0096516	   0.0000000	   3.1667456
   1.1528132	  -0.0454357	   0.0000000	  -0.0302357	  -0.0070472	   0.0000000	   3.1667456
   1.1523010	  -0.0455333	   0.0000000	  -0.0300079	  -0.0044299	   0.0000000	   3.1667456
   1.1517929	  -0.0455863	   0.0000000	  -0.0297458	  -0.0018020	   0.0000000	   3.1667456
   1.1512896	  -0.0455945	   0.0000000	  -0.0294503	   0.0008342	   0.0000000	   3.1667456
   1.1507915	  -0.0455579	   0.0000000	  -0.0291224	   0.0034766	   0.0000000	   3.1667456
   1.1502993	  -0.0454763	   0.0000000	  -0.0287633	   0.0061227	   0.0000000	   3.1667456
   1.1498135	  -0.0453497	   0.0000000	  -0.0283739	   0.0087703	   0.0000000	   3.1667456
   1.1493345	  -0.0451780	   0.0000000	  -0.0279556	   0.0114169	   0.0000000	   3.1667456
   1.1488630	  -0.0449614	   0.0000000	  -0.0275096	   0.0140602	   0.0000000	   3.1667456
   1.1483992	  -0.0446999	   0.0000000	  -0.0270371	   0.0166978	   0.0000000	   3.1667456
   1.1479436	  -0.0443936	   0.0000000	  -0.0265395	   0.0193272	   0.0000000	   3.1667456
   1.1474968	  -0.0440427	   0.0000000	  -0.0260181	   0.0219459	   0.0000000	   3.1667456
   1.1470590	  -0.0436473	   0.0000000	  -0.0254743	   0.0245516	   0.0000000	   3.1667456
   1.1466305	  -0.0432078	   0.0000000	  -0.0249097	   0.0271416	   0.0000000	   3.1667456
   1.1462120	  -0.0427244	   0.0000000	  -0.0243256	   0.0297134	   0.0000000	   3.1667456
   1.1458035	  -0.0421974	   0.0000000	  -0.0237236	   0.0322644	   0.0000000	   3.1667456
   1.1454053	  -0.0416273	   0.0000000	  -0.0231051	   0.0347922	   0.0000000	   3.1667456
   1.1450177	  -0.0410144	   0.0000000	  -0.0224717	   0.0372939	   0.0000000	   3.1667456
   1.1446412	  -0.0403592	   0.0000000	  -0.0218250	   0.0397670	   0.0000000	   3.1667456
   1.1442755	  -0.0396622	   0.0000000	  -0.0211663	   0.0422089	   0.0000000	   3.1667456
   1.1439214	  -0.0389239	   0.0000000	  -0.0204972	   0.0446168	   0.0000000	   3.1667456
   1.1435785	  -0.0381451	   0.0000000	  -0.0198193	   0.0469879	   0.0000000	   3.1667456
   1.1432474	  -0.0373262	   0.0000000	  -0.0191340	   0.0493197	   0.0000000	   3.1667456
   1.1429279	  -0.0364680	   0.0000000	  -0.0184427	   0.0516092	   0.0000000	   3.1667456
   1.1426202	  -0.0355713	   0.0000000	  -0.0177469	   0.0538538	   0.0000000	   3.1667456
   1.1423243	  -0.0346368	   0.0000000	  -0.0170479	   0.0560507	   0.0000000	   3.1667456
   1.1420405	  -0.0336654	   0.0000000	  -0.0163469	   0.0581970	   0.0000000	   3.1667456
   1.1417685	  -0.0326580	   0.0000000	  -0.0156454	   0.0602901	   0.0000000	   3.1667456
   1.1415083	  -0.0316154	   0.0000000	  -0.0149444	   0.0623270	   0.0000000	   3.1667456
   1.1412603	  -0.0305387	   0.0000000	  -0.0142450	   0.0643051	   0.0000000	   3.1667456
   1.1410239	  -0.0294289	   0.0000000	  -0.0135483	   0.0662215	   0.0000000	   3.1667456
   1.1407994	  -0.0282870	   0.0000000	  -0.0128552	   0.0680736	   0.0000000	   3.1667456
   1.1405867	  -0.0271142	   0.0000000	  -0.0121667	   0.0698585	   0.0000000	   3.1667456
   1.1403856	  -0.0259117	   0.0000000	  -0.0114833	   0.0715737	   0.0000000	   3.1667456
   1.1401962	  -0.0246806	   0.0000000	  -0.0108058	   0.0732165	   0.0000000	   3.1667456
   1.1400181	  -0.0234222	   0.0000000	  -0.0101347	   0.0747843	   0.0000000	   3.1667456
   1.1398515	  -0.0221378	   0.0000000	  -0.0094704	   0.0762746	   0.0000000	   3.1667456
   1.1396960	  -0.0208287	   0.0000000	  -0.0088134	   0.0776849	   0.0000000	   3.1667456
   1.1395516	  -0.0194963	   0.0000000	  -0.0081637	   0.0790130	   0.0000000	   3.1667456
   1.1394184	  -0.0181421	   0.0000000	  -0.0075215	   0.0802566	   0.0000000	   3.1667456
   1.1392958	  -0.0167675	   0.0000000	  -0.0068867	   0.0814134	   0.0000000	   3.1667456
   1.1391841	  -0.0153739	   0.0000000	  -0.0062593	   0.0824815	   0.0000000	   3.1667456
   1.1390829	  -0.0139629	   0.0000000	  -0.0056390	   0.0834589	   0.0000000	   3.1667456
